u_id,parent_compositeterm,parent_public_id,child_compositeterm,child_public_id
"6882","sun_moon",5845,"sunset",578
"719","random",7255,"splash",805
"719","random",7255,"interesting",586
"1760","travelogu",7559,"terschel",1282
"208","cgi",8523,"fabric",1859
"2118","who",8788,"smoke",1826
"2189","misc",8578,"bokeh",1440
"2691","natur",8406,"flower",1194
"2691","natur",8406,"sky",1086
"2691","peopl",8410,"portrait",384
"2691","thing",8405,"detail",1083
"2691","thing",8405,"colour",1081
"2691","thing",8405,"materi",1073
"2892","southeast asia",8081,"cambodia",1763
"2915","dai trip",9321,"nate trust",1526
"3335","peopl",8041,"european",1833
"3639","mix",8381,"ila",1230
"4467","anim",8810,"cow",1732
"467","anim",8726,"bird",821
"4740","seattl storm",7895,"seattl v chicago",1424
"4740","seattl storm",7895,"seattl v sacramento",1409
"4742","travel",7658,"madagascar",1185
"4748","slide",7798,"plant",1180
"4927","backyard bird",8735,"downi woodpeck",1107
"5265","anim",7881,"flower",963
"5265","architectur",7878,"flower",963
"5265","travel",7944,"flower",963
"5696","other",8539,"mykid",743
"5777","bellydanc",8643,"mediterranean fantasi festiv",705
"5881","nate trust",7719,"explor",638
"6070","hike",8511,"latourel fall hike",545
"6108","befor",8345,"kl",373
"6574","msh",7917,"maymsh",1867
"6783","frozen head state park",8427,"frozen head",842
"6919","kid",7934,"girl",736
"6919","kid",7934,"boi",735
"81","kate",9198,"year on",681
"1023","archiv",11232,"skipper",970
"1023","photographi",11162,"yosemit",1105
"1023","photographi",11162,"flower",1104
"1023","photographi",11162,"squar circl",768
"1023","photographi",11162,"berkelei",20
"1213","experiment",9412,"balloon festiv",1021
"1781","superl",10048,"favorit",59
"3335","event",9673,"european",1833
"3859","obsess",9912,"stranger",1320
"4988","best",10642,"favorit",1196
"5077","film",9420,"natur macro",1045
"5077","macro",9366,"natur macro",1045
"5357","subject",9385,"plant",89
"5357","subject",9385,"other",87
"5357","subject",9385,"templ",86
"5357","subject",9385,"peopl",85
"5357","subject",9385,"anim",78
"5357","subject",9385,"insect",37
"5481","california",11067,"home",1142
"5481","california",11067,"death vallei",737
"5481","color",11065,"blue",789
"5481","miscellan",11064,"all you can eat",552
"5481","travel",11101,"toronto",1140
"5585","macro",10516,"spider",1838
"6114","project",9817,"bergen",505
"6159","natura",10911,"fiori",485
"6287","natur",11154,"insect",413
"7079","mallorca",11026,"mediev market",1652
"1005","peopl",12609,"famili",584
"2189","flickr stat",12786,"fav",1446
"2189","flickr stat",12786,"fav",1430
"2189","flickr stat",12786,"fav",1428
"2189","flickr stat",12786,"fav",1414
"2316","trek",11588,"nepal",294
"3286","chronolog",11637,"parti",1740
"402","photographi",11870,"bombai hook",1844
"4266","wildlif",11332,"water",1475
"4347","graphic",12865,"terragen",566
"5056","travel",12478,"scotland",838
"5065","valencia",11466,"napl et se alentour",1052
"5140","product",11289,"plant",1012
"5355","anthoni",11672,"nybg",925
"5362","round",12064,"busi",1228
"5536","architectur",11366,"antiqu",820
"5553","art",12963,"art botanica",810
"5720","home",11321,"mix media",725
"5765","garden",12094,"indoor",958
